access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12022 viewed attendance sessions for student with id 12022,web,685020,SSK3102
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 18789 took attendance with instanceid 606,web,203520,SSK3207
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 1409 viewed attendance sessions for student with id 1409,web,134920,SSK4505
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12114 viewed attendance sessions for student with id 12114,web,145120,SSE4306
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 3532 viewed attendance sessions for student with id 3532,web,561520,SSK4602
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12684 viewed attendance sessions for student with id 12684,web,383820,SSK3100
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 3532 took attendance with instanceid 606,web,561520,SKR3202
9/7/2020,Assignment: Individual Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '23068' has viewed the submission status page for the assignment with course module id '28948'.,web,637818,SIM4208
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12684 viewed attendance sessions for student with id 12684,web,383820,SKR3504
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 22284 viewed attendance sessions for student with id 22284,web,72820,SKM4212
9/7/2020,Assignment: Individual Assignment 2,Assignment,Course module viewed,The user with id '23068' viewed the 'assign' activity with course module id '28948'.,web,637818,SKR3504
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 22284 viewed attendance sessions for student with id 22284,web,72820,SSK4617
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 22284 took attendance with instanceid 606,web,72820,SSK4508
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 6513 took attendance with instanceid 606,web,905020,SSK3100
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '14850' viewed the 'assign' activity with course module id '67510'.,web,151419,SIM3251
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 6513 viewed attendance sessions for student with id 6513,web,905020,SIM4208
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 12114 took attendance with instanceid 606,web,145120,SSK4617
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 1409 took attendance with instanceid 606,web,134920,SKM3203
9/7/2020,URL: JPEG : Part 1,System,Course module created,The user with id '977' created the 'url' activity with course module id '95307'.,web,5818A0,SIM4208
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,The status of the submission has been viewed.,The user with id '14850' has viewed the submission status page for the assignment with course module id '67510'.,web,151419,SKR3201
