access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK3101-4: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '17958' viewed the course with id '3086'.,web,102820,SSK3313
2020-09-07,Course: SIM4207-3: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '4006' viewed the course with id '2955'.,web,581419,SSK3101
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '14166' viewed the course with id '3092'.,web,722820,SKR4307
2020-09-07,Course: SIM4207-3: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '4006' viewed the course with id '2955'.,web,581419,SSK4610
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '18268' viewed the course with id '3092'.,web,904120,SKR4301
2020-09-07,Course: SSK3101-4: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '20496' viewed the course with id '3086'.,web,620820,SSK3207
2020-09-07,Course: SKM4213-2: PEMPROSESAN IMEJ DIGITAL (DIGITAL IMAGE PROCESSING),System,Course viewed,The user with id '22940' viewed the course with id '2965'.,web,467519,SKR4202
2020-09-07,Course: SSK3003-1: STRUKTUR DISKRET (DISCRETE STRUCTURES),System,Course viewed,The user with id '12646' viewed the course with id '3076'.,web,422320,SSK4407
2020-09-07,Course: SIM4207-3: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '4006' viewed the course with id '2955'.,web,581419,SKR3306
2020-09-07,Course: SIM4207-3: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '4006' viewed the course with id '2955'.,web,581419,SKR3308
2020-09-07,Course: SKM4213-2: PEMPROSESAN IMEJ DIGITAL (DIGITAL IMAGE PROCESSING),System,Course viewed,The user with id '22940' viewed the course with id '2965'.,web,467519,SSK3118
2020-09-07,Course: SSK5514-1: SISTEM PENGESANAN PENCEROBOHAN (INTRUSION DETECTION SYSTEM),System,Course viewed,The user with id '4867' viewed the course with id '3846'.,web,GS55338,SSK3313
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '24781' viewed the course with id '3092'.,web,162720,SIM4207
2020-09-07,Course: SSK4617-1: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '29087' viewed the course with id '3123'.,web,594919,SIM3251
2020-09-07,Course: SSK4617-1: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '29087' viewed the course with id '3123'.,web,594919,SSK4407
2020-09-07,Course: SSK4617-1: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '29087' viewed the course with id '3123'.,web,594919,SKR3201
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '26865' viewed the course with id '3092'.,web,732820,SSK4506
2020-09-07,Course: SSE3202-1: INTERAKSI MANUSIA-KOMPUTER (HUMAN-COMPUTER INTERACTION),System,Course viewed,The user with id '14167' viewed the course with id '3055'.,web,976619,SKR3201
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '3134' viewed the course with id '3033'.,web,084319,SKM4310
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SSK4508
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SKR3306
2020-09-07,Course: SKR3305-1: PENGATURCARAAN PYTHON (PYTHON PROGRAMMING),System,Course viewed,The user with id '29087' viewed the course with id '3021'.,web,594919,SKR3202
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '29087' viewed the course with id '3115'.,web,594919,SKR3306
2020-09-07,Course: SKM4213-2: PEMPROSESAN IMEJ DIGITAL (DIGITAL IMAGE PROCESSING),System,Course viewed,The user with id '22940' viewed the course with id '2965'.,web,467519,SIM3251
2020-09-07,Course: SKM4213-2: PEMPROSESAN IMEJ DIGITAL (DIGITAL IMAGE PROCESSING),System,Course viewed,The user with id '22940' viewed the course with id '2965'.,web,467519,SSK3100
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '29087' viewed the course with id '3115'.,web,594919,SKM3203
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '3134' viewed the course with id '3033'.,web,084319,SSK4610
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '29087' viewed the course with id '3115'.,web,594919,SSK4610
